;description;energy;kms;location;make;model;price;title;transmission;year
3285;;gasolina;100;Los Olivos - Lima - Lima;honda;civic;;honda civic 1991;mecánica;1991
3286;;gasolina;102000;Santiago de Surco - Lima - Lima;honda;cr-v;13900;honda cr-v 2012;automática;2012
3287;;gasolina;337265;Santiago de Surco - Lima - Lima;honda;civic;3500;honda civic 1995;mecánica;1995
3288;;gasolina;120000;Miraflores - Lima - Lima;honda;accord;6800;honda accord 2007;automática (secuencial);2007
3289;;gasolina;167000;Miraflores - Lima - Lima;honda;accord;4800;honda accord 2008;automática;2008
3290;"honda accord nacional solo 52;000 kms";gasolina;52000;Miraflores - Lima - Lima;honda;accord;8950;honda accord 2008;automática;2008
3291;2015 cr-z hibrido ;híbrido;23000;Magdalena del Mar - Lima - Lima;honda;cr-z;15800;honda cr-z 2015;mecánica;2015
3292;;gasolina;79000;Chorrillos - Lima - Lima;honda;crv;9950;honda crv 2010;automática (secuencial);2010
3293;;gasolina;;Miraflores - Lima - Lima;honda;accord coupe;;honda accord coupe 2014;automática;2014
3294;;gasolina;60000;Miraflores - Lima - Lima;honda;pilot;;honda pilot 2012;automática;2012
3295;impecable;gasolina;66000;La Molina - Lima - Lima;honda;pilot;22900;honda pilot 2013;automática;2013
3296;;gasolina;106000;Santiago de Surco - Lima - Lima;honda;civic;6800;honda civic 2004;mecánica;2004
3297;;gasolina;67000;Callao - Callao - Callao;honda;civic;9000;honda civic 2010;mecánica;2010
3298;;gasolina;23000;Nuevo Chimbote - Santa - Ancash;honda;civic si;19500;honda civic si 2015;mecánica;2015
3299;;gasolina;60000;Papaplaya - San Martin - San Martin;honda;pilot;8000;honda pilot 2013;automática;2013
3300;;gasolina;139000;Lambayeque - Lambayeque - Lambayeque;honda;accord;1800;honda accord 1992;automática;1992
3301;;gasolina;110000;Trujillo - Trujillo - La Libertad;honda;civic coupe;5900;honda civic coupe 2009;mecánica;2009
3302;;gasolina;112000;San Isidro - Lima - Lima;honda;cr-v;10500;honda cr-v 2008;automática;2008
3303;;gasolina;82800;Lima - Lima - Lima;honda;s2000;5400;honda s2000 2008;mecánica;2008
3304;;gasolina;59000;Tumbes - Tumbes - Tumbes;honda;pilot;7700;honda pilot 2010;automática;2010
3305;;gasolina;66590;Tacna - Tacna - Tacna;honda;pilot;7000;honda pilot 2009;automática;2009
3306;;gasolina;38000;Carmen de la Legua Reynoso - Callao - Callao;honda;wr-v;7500;honda wr-v 2018;automática;2018
3307;;gasolina;31500;Tarapoto - San Martin - San Martin;honda;civic coupe;7700;honda civic coupe 2017;automática;2017
3308;;gasolina;68000;Puno - Puno - Puno;honda;civic coupe;6000;honda civic coupe 2011;automática;2011
3309;;gasolina;70000;Santiago de Surco - Lima - Lima;honda;cr-v;15500;honda cr-v 2013;automática;2013
3310;;gasolina;41700;San Borja - Lima - Lima;honda;cr-v;18000;honda cr-v 2012;automática;2012
3311;;gasolina;80000;Tacna - Tacna - Tacna;honda;civic;;honda civic 2007;mecánica;2007
3312;;gasolina;;Chorrillos - Lima - Lima;honda;civic;4800;honda civic 2001;automática;2001
3313;;gasolina;109000;San Miguel - Lima - Lima;honda;civic;;honda civic 2004;automática;2004
