Index,Highest Charting Position,Number of Times Charted,Song Name,Streams,Artist,Artist Followers,Genre,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence,Chord
1311,158,1,Moon Relate,5324545,Lil Uzi Vert,11821805, rap,58.0,0.867,0.768,-3.73,0.0791,0.18,0.254,102.021,181826.0,0.34,G
1311,158,1,Moon Relate,5324545,Lil Uzi Vert,11821805, trap,58.0,0.867,0.768,-3.73,0.0791,0.18,0.254,102.021,181826.0,0.34,G
1316,177,1,Trap This Way (This Way),5043990,Lil Uzi Vert,11821805, rap,59.0,0.71,0.586,-5.331,0.381,0.248,0.193,175.987,185439.0,0.207,D
1316,177,1,Trap This Way (This Way),5043990,Lil Uzi Vert,11821805, trap,59.0,0.71,0.586,-5.331,0.381,0.248,0.193,175.987,185439.0,0.207,D
1318,51,2,Homecoming,4988839,Lil Uzi Vert,11821805, rap,63.0,0.929,0.563,-7.428,0.49,0.000592,0.244,129.957,213885.0,0.353,A
1318,51,2,Homecoming,4988839,Lil Uzi Vert,11821805, trap,63.0,0.929,0.563,-7.428,0.49,0.000592,0.244,129.957,213885.0,0.353,A
1319,184,1,Got The Guap (feat. Young Thug),4946997,Lil Uzi Vert,11821805, rap,58.0,0.837,0.601,-5.628,0.198,0.21,0.0928,142.977,176756.0,0.749,G#/Ab
1319,184,1,Got The Guap (feat. Young Thug),4946997,Lil Uzi Vert,11821805, trap,58.0,0.837,0.601,-5.628,0.198,0.21,0.0928,142.977,176756.0,0.749,G#/Ab
1320,53,2,Prices,4898167,Lil Uzi Vert,11821805, rap,65.0,0.786,0.683,-5.397,0.205,0.173,0.706,126.002,233333.0,0.57,G
1320,53,2,Prices,4898167,Lil Uzi Vert,11821805, trap,65.0,0.786,0.683,-5.397,0.205,0.173,0.706,126.002,233333.0,0.57,G
1321,188,1,I Can Show You,4831405,Lil Uzi Vert,11821805, rap,57.0,0.817,0.656,-7.086,0.277,0.051,0.115,139.915,120076.0,0.314,A#/Bb
1321,188,1,I Can Show You,4831405,Lil Uzi Vert,11821805, trap,57.0,0.817,0.656,-7.086,0.277,0.051,0.115,139.915,120076.0,0.314,A#/Bb
1322,52,2,I'm Sorry,4818039,Lil Uzi Vert,11821805, rap,60.0,0.858,0.547,-5.822,0.29,0.213,0.104,128.02,211883.0,0.303,C#/Db
1322,52,2,I'm Sorry,4818039,Lil Uzi Vert,11821805, trap,60.0,0.858,0.547,-5.822,0.29,0.213,0.104,128.02,211883.0,0.303,C#/Db
1326,66,3,<3,4755477,Bad Bunny,36177712, reggaeton,69.0,0.631,0.665,-7.589,0.229,0.602,0.152,80.353,157967.0,0.634,A#/Bb
1326,66,3,<3,4755477,Bad Bunny,36177712, trap latino,69.0,0.631,0.665,-7.589,0.229,0.602,0.152,80.353,157967.0,0.634,A#/Bb
1329,60,1,POP,10484727,Lil Uzi Vert,11821805, rap,58.0,0.741,0.599,-6.672,0.419,0.00961,0.785,139.891,227474.0,0.276,C#/Db
1329,60,1,POP,10484727,Lil Uzi Vert,11821805, trap,58.0,0.741,0.599,-6.672,0.419,0.00961,0.785,139.891,227474.0,0.276,C#/Db
1330,61,1,Celebration Station,10396969,Lil Uzi Vert,11821805, rap,61.0,0.748,0.771,-4.156,0.15,0.101,0.135,142.086,195058.0,0.792,F#/Gb
1330,61,1,Celebration Station,10396969,Lil Uzi Vert,11821805, trap,61.0,0.748,0.771,-4.156,0.15,0.101,0.135,142.086,195058.0,0.792,F#/Gb
1331,64,1,Bigger Than Life,9974143,Lil Uzi Vert,11821805, rap,62.0,0.776,0.752,-4.711,0.193,0.325,0.33,140.013,192705.0,0.716,G#/Ab
1331,64,1,Bigger Than Life,9974143,Lil Uzi Vert,11821805, trap,62.0,0.776,0.752,-4.711,0.193,0.325,0.33,140.013,192705.0,0.716,G#/Ab
1332,68,1,Venetia,9824605,Lil Uzi Vert,11821805, rap,63.0,0.775,0.757,-4.139,0.175,0.162,0.148,142.933,188800.0,0.562,A
1332,68,1,Venetia,9824605,Lil Uzi Vert,11821805, trap,63.0,0.775,0.757,-4.139,0.175,0.162,0.148,142.933,188800.0,0.562,A
1333,73,1,You Better Move,9533898,Lil Uzi Vert,11821805, rap,60.0,0.842,0.556,-6.793,0.442,0.159,0.204,118.836,196639.0,0.306,G#/Ab
1333,73,1,You Better Move,9533898,Lil Uzi Vert,11821805, trap,60.0,0.842,0.556,-6.793,0.442,0.159,0.204,118.836,196639.0,0.306,G#/Ab
1334,93,1,Chrome Heart Tags,8219307,Lil Uzi Vert,11821805, rap,57.0,0.702,0.768,-4.055,0.0669,0.541,0.105,70.056,212821.0,0.574,C
1334,93,1,Chrome Heart Tags,8219307,Lil Uzi Vert,11821805, trap,57.0,0.702,0.768,-4.055,0.0669,0.541,0.105,70.056,212821.0,0.574,C
1335,102,1,Bust Me,7828045,Lil Uzi Vert,11821805, rap,57.0,0.734,0.703,-6.256,0.355,0.237,0.413,151.923,194452.0,0.608,B
1335,102,1,Bust Me,7828045,Lil Uzi Vert,11821805, trap,57.0,0.734,0.703,-6.256,0.355,0.237,0.413,151.923,194452.0,0.608,B
1337,122,1,Secure The Bag,7053947,Lil Uzi Vert,11821805, rap,57.0,0.803,0.719,-4.485,0.392,0.344,0.425,129.945,238425.0,0.549,C
1337,122,1,Secure The Bag,7053947,Lil Uzi Vert,11821805, trap,57.0,0.803,0.719,-4.485,0.392,0.344,0.425,129.945,238425.0,0.549,C
1338,140,1,Urgency (feat. Syd),6224412,Lil Uzi Vert,11821805, rap,53.0,0.619,0.784,-6.11,0.123,0.0326,0.315,156.035,181161.0,0.471,C#/Db
1338,140,1,Urgency (feat. Syd),6224412,Lil Uzi Vert,11821805, trap,53.0,0.619,0.784,-6.11,0.123,0.0326,0.315,156.035,181161.0,0.471,C#/Db
1354,12,9,Rare,5195842,Selena Gomez,28931149,dance pop,68.0,0.838,0.545,-6.713,0.0706,0.208,0.103,114.998,220590.0,0.631,F
1354,12,9,Rare,5195842,Selena Gomez,28931149, pop,68.0,0.838,0.545,-6.713,0.0706,0.208,0.103,114.998,220590.0,0.631,F
1354,12,9,Rare,5195842,Selena Gomez,28931149, post-teen pop,68.0,0.838,0.545,-6.713,0.0706,0.208,0.103,114.998,220590.0,0.631,F
1357,49,1,That Way,12059592,Lil Uzi Vert,11821805, rap,67.0,0.719,0.611,-5.01,0.0403,0.0582,0.155,129.962,212354.0,0.489,G
1357,49,1,That Way,12059592,Lil Uzi Vert,11821805, trap,67.0,0.719,0.611,-5.01,0.0403,0.0582,0.155,129.962,212354.0,0.489,G
1366,32,10,Futsal Shuffle 2020,5386512,Lil Uzi Vert,11821805, rap,67.0,0.881,0.457,-8.191,0.156,0.0327,0.231,136.97,198913.0,0.296,G
1366,32,10,Futsal Shuffle 2020,5386512,Lil Uzi Vert,11821805, trap,67.0,0.881,0.457,-8.191,0.156,0.0327,0.231,136.97,198913.0,0.296,G
1375,140,9,You Need To Calm Down,5115153,Taylor Swift,42227614, post-teen pop,78.0,0.771,0.671,-5.617,0.0553,0.00929,0.0637,85.026,171360.0,0.714,D
